,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,bario,year
40,37,15,0,22,,"70,8","82,3",-,"64,1",,"93,4","92,2","94,1",,"1.368,3","1.192,4","1.468,8",7 38. la Teixonera,2013-04-01
41,12,6,0,6,,"84,0","93,0",-,"75,0",,"184,7","172,1","197,3",,"2.073,9","1.726,2","2.421,7",7 39. Sant Genís dels Agudells,2013-04-01
42,14,8,2,4,,"73,7","67,4","79,0","83,3",,"140,4","129,0","163,1",,"1.794,0","1.760,6","1.860,8",7 40. Montbau,2013-04-01
43,15,6,0,9,,"54,3","54,4",-,"54,3",,"135,0","144,4","128,3",,"2.487,2","2.657,5","2.365,5","7 41. la Vall d""Hebron",2013-04-01
44,3,1,0,2,,"62,0","57,0",-,"64,5",,"108,0",-,-,,"1.723,6",-,-,7 42. la Clota,2013-04-01
45,103,16,2,85,,"72,8","75,3","67,5","72,4",,"157,9","158,6","157,7",,"2.179,8","2.242,1","2.160,3",7 43. Horta,2013-04-01
46,52,8,0,44,,"73,9","62,3",-,"76,1",,"126,8","106,3","130,8",,"1.710,3","1.652,4","1.721,6",8 44. Vilapicina i la Torre Llobeta,2013-04-01
47,115,0,0,115,,"67,0",-,-,"67,0",,"128,4",-,"128,4",,"1.942,0",-,"1.942,0",8 45. Porta,2013-04-01
48,50,0,0,50,,"60,5",-,-,"60,5",,"87,3",-,"87,3",,"1.487,3",-,"1.487,3",8 46. el Turó de la Peira,2013-04-01
49,7,0,0,7,,"62,1",-,-,"62,1",,"49,6",-,"49,6",,"612,6",-,"612,6",8 47. Can Peguera,2013-04-01
50,49,1,0,48,,"75,5","74,0",-,"75,5",,"133,1",-,"123,9",,"1.824,7",-,"1.702,2",8 48. la Guineueta,2013-04-01
51,14,0,0,14,,"71,5",-,-,"71,5",,"113,4",-,"113,4",,"1.761,4",-,"1.761,4",8 49. Canyelles,2013-04-01
52,63,0,0,63,,"59,4",-,-,"59,4",,"81,4",-,"81,4",,"1.528,7",-,"1.528,7",8 50. les Roquetes,2013-04-01
53,36,0,0,36,,"56,1",-,-,"56,1",,"84,9",-,"84,9",,"1.580,0",-,"1.580,0",8 51. Verdun,2013-04-01
54,52,0,0,52,,"58,8",-,-,"58,8",,"90,3",-,"90,3",,"1.302,9",-,"1.302,9",8 52. la Prosperitat,2013-04-01
55,34,0,0,34,,"58,2",-,-,"58,2",,"54,5",-,"54,5",,"945,1",-,"945,1",8 53. la Trinitat Nova,2013-04-01
56,19,0,0,19,,"63,7",-,-,"63,7",,"104,5",-,"104,5",,"1.631,6",-,"1.631,6",8 54. Torre Baró,2013-04-01
57,65,0,0,65,,"58,7",-,-,"58,7",,"73,5",-,"73,5",,"1.208,9",-,"1.208,9",8 55. Ciutat Meridiana,2013-04-01
58,11,0,0,11,,"79,8",-,-,"79,8",,"196,4",-,"196,4",,"2.474,9",-,"2.474,9",8 56. Vallbona,2013-04-01
59,101,0,0,101,,"79,1",-,-,"79,1",,"165,1",-,"165,1",,"1.986,2",-,"1.986,2",9 57. la Trinitat Vella,2013-04-01
60,9,0,0,9,,"81,6",-,-,"81,6",,"299,7",-,"299,7",,"2.583,2",-,"2.583,2",9 58. Baró de Viver,2013-04-01
61,207,63,0,144,,"66,1",-,-,"66,1",,"100,2",-,"100,2",,"1.474,8",-,"1.474,8",9 59. el Bon Pastor,2013-04-01
62,200,3,0,197,,"71,3","58,0",-,"71,5",,"151,6","73,0","153,0",,"2.069,6","1.255,5","2.084,1",9 60. Sant Andreu,2013-04-01
63,221,4,0,217,,"74,9","114,5",-,"74,0",,"174,1","568,8","153,3",,"2.237,6","4.184,8","2.135,1",9 61. la Sagrera,2013-04-01
64,98,32,0,66,,"67,3","61,2",-,"70,1",,"136,8","118,0","146,5",,"2.056,0","1.923,6","2.124,5",9 62. el Congrés i els Indians,2013-04-01
65,135,12,0,123,,"87,1","65,3",-,"89,4",,"256,2","211,0","262,9",,"2.767,4","3.356,8","2.678,9",9 63. Navas,2013-04-01
66,328,3,0,325,,"83,2","97,0",-,"83,1",,"275,5","348,0","274,5",,"2.800,0","3.331,4","2.793,3","10 64. el Camp de l""Arpa del Clot",2013-04-01
67,289,24,1,264,,"79,8","80,9","76,0","79,7",,"224,9","222,8","225,2",,"2.742,5","2.691,1","2.748,7",10 65. el Clot,2013-04-01
68,40,6,0,34,,"75,2","63,3",-,"77,6",,"161,1","107,0","174,1",,"2.107,9","1.691,3","2.207,9",10 66. el Parc i la Llacuna del Poblenou,2013-04-01
69,6,1,0,5,,"99,8","70,0",-,"107,3",,"373,4",-,"398,7",,"3.847,3",-,"3.837,7",10 67. la Vila Olímpica del Poblenou,2013-04-01
70,180,77,6,97,,"69,4","71,0","51,0","69,2",,"219,7","223,0","216,8",,"3.117,3","3.061,0","3.165,6",10 68. el Poblenou,2013-04-01
71,82,14,1,67,,"90,8","77,7","107,0","93,3",,"448,6","255,8","490,7",,"4.792,7","3.213,6","5.138,1",10 69. Diagonal Mar i el Front Marítim del Poblenou,2013-04-01
72,176,38,8,130,,"71,4","94,6","77,6","64,4",,"153,6","253,3","120,1",,"1.997,2","2.548,4","1.811,7",10 70. el Besòs i el Maresme,2013-04-01
73,25,6,3,16,,"70,2","69,5","63,5","71,4",,"272,1","285,4","263,3",,"3.683,0","3.917,2","3.526,9",10 71. Provençals del Poblenou,2013-04-01
74,111,5,3,103,,"76,8","104,8","64,3","75,7",,"180,6","353,4","155,9",,"1.988,6","3.442,7","1.780,8",10 72. Sant Martí de Provençals,2013-04-01
75,303,62,16,225,,"72,7","65,9",-,"73,3",,"107,1","105,8","107,3",,"1.494,4","1.614,8","1.471,3",10 73. la Verneda i la Pau,2013-04-01
